,Title,Artist,Nationality,Years,Decades,Country
8327,Tailpiece (page 73) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8328,Headpiece and pictorial initial J (page 77) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8329,In-text plate (page 79) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8330,Tailpiece (page 81) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8331,Headpiece and pictorial initial O (page 82) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8332,In-text plate (page 84) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8333,Tailpiece (page 86) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8334,Headpiece and pictorial initial O (page 87) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8335,Headpiece and pictorial initial A (page 10) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8336,In-text plate (page 89) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8337,Tailpiece (page 91) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8338,Headpiece and pictorial initial T (page 92) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8339,In-text plate (page 94) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8340,Tailpiece (page 97) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8341,Headpiece and pictorial initial C (page 98) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8342,In-text plate (page 100) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8343,Tailpiece (page 102) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8344,Headpiece and pictorial initial L (page 103) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8345,In-text plate (page 105) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8346,In-text plate (page 13) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8347,Tailpiece (page 107) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8348,Headpiece and pictorial initial C (page 108) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8349,In-text plate (page 110) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8350,Tailpiece (page 112) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8351,Headpiece and pictorial initial L (page 113) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8352,In-text plate (page 115) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8353,Tailpiece (page 117) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8354,Headpiece and pictorial initial L (page 118) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8355,In-text plate (page 121) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8356,In-text plate (page 123) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8357,Tailpiece (page 15) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8358,Tailpiece (page 125) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8359,Headpiece and pictorial initial P (page 126) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8360,In-text plate (page 129) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8361,Tailpiece (page 131) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8362,Headpiece and pictorial initial S (page 132) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8363,In-text plate (page 135) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8364,Tailpiece (page 137) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8365,Headpiece and pictorial initial P (page 138) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8366,In-text plate (page 141) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8367,Tailpiece (page 143) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8368,Headpiece and pictorial initial A (page 16) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8369,Headpiece and pictorial initial C (page 147) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8370,In-text plate (page 151) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8371,Tailpiece (page 153) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8372,Headpiece and pictorial initial V (page 154) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8373,In-text plate (page 157) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8374,Tailpiece (page 159) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8375,Headpiece and pictorial initial A (page 160) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8376,In-text plate (page 163) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8377,Tailpiece (page 165) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8378,Headpiece and pictorial initial L (page 166) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8379,In-text plate (page 17) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8380,In-text plate (page 169) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8381,Tailpiece (page 172) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8382,Headpiece and pictorial initial S (page 173) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8383,In-text plate (page 177) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8384,Tailpiece (page 180) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8385,Headpiece and pictorial initial L (page 181) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8386,In-text plate (page 185) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8387,Tailpiece (page 188) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8388,Headpiece and pictorial initial E (page 189) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8389,In-text ornament (page 190) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8390,"SUPREME COURT OF APPEALS (plate, page 1) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8391,APHORISMES ET VARIÉTÉS,Raoul Dufy,(French),1964,1960,France
8392,"FISHING AT SEA (plate, page 61) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8393,"THE POULTRY YARD (plate, page 69) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8394,"AFTER THE HUNT (plate, page 75) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8395,"THE FOOD STORE (plate, page 83) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8396,"THE SMALL TOWN (plate, page 87) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8397,"THE INN (plate, page 93) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8398,"THE MEAL (plate, page 97) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8399,"MUSICIANS (plate, page 103) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8400,"SUMMER LANDSCAPE (plate, page 113) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8401,"THE EARTHLY PARADISE (plate, page 123) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8402,"ILLUSTRATED CHAPTER TITLE (pictorial border, page 7) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8403,"THE ROLLING STOVE (plate, page 129) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8404,"TRUTH (plate, page 11) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8405,"THE CURÉ'S DINING ROOM (plate, page 21) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8406,"THE BUTCHER SHOP (plate, page 29) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8407,"ARRIVAL IN NEW YORK (plate, page 33) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8408,"THE STREAM (plate, page 43) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8409,"THE BISHOP'S GARDEN (plate, page 49) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8410,"THE SOW (plate, page 53) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),1964,1960,France
8411,Wall with Parachute (Mur au parachute) (wrapper front) from Les Murs,Jean Dubuffet,(French),1965,1960,France
8412,Les Murs,Jean Dubuffet,(French),1965,1960,France
8413,"Pissers at the Wall (Pisseurs au mur) (plate 8, folio 21) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8414,"Wall and Travelers (Mur et voyageurs) (plate 9, folio 23) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8415,"Dog Pissing on the Wall (Chien pissant au mur) (plate 10, folio 25) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8416,"Wall and Lying Figure (Mur et gisant) (plate 11, folio 27) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8417,"Wall and Notice (Mur et avis) (plate 12, folio 29) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8418,"Decrepit Wall (Mur décrépit) (plate 13, folio 30) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8419,"Wall and Man (Mur et homme) (frontispiece, folio 4 verso) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8420,"Wall with Graffiti (Mur historié) (plate 1, folio 7) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8421,"Wall with Bird (Mur à l'oiseau) (plate 2, folio 9) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8422,"Man Wedged Between the Walls (Homme coincé dans les murs) (plate 3, folio 11) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8423,"Passing by the Walls (Passant dans les murs) (plate 4, folio 13) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8424,"Dance at the Wall (Danse au mur) (plate 5, folio 15) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8425,"Wall with Mustached Man (Mur au moustachu) (plate 6, folio 18) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8426,"Man and Wall (Homme et mur) (plate 7, folio 19) from Les Murs",Jean Dubuffet,(French),1965,1960,France
8427,LA SOURCE DES JOURS,Raoul Dufy,(French),1964,1960,France
8428,"Figure with Hat (Profile) (Personnage au chapeau [de profil]), plate I from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8429,Vignettes Lorgnettes,Jean Dubuffet,(French),1965,1960,France
8430,"Countryside (Campagne), plate X from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8431,"Landscape with House (Paysage avec maison), plate XI from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8432,"Landscape with Two Figures (Paysage avec deux personnages), plate XII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8433,"Landscape with Figure (Paysage avec personnage), plate XIII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8434,"Country Frolic (Gambade à la campagne), plate XIV from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8435,"Head in Profile (Tête de profil), plate XV from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8436,"Two Figures in a Landscape (Deux personnages dans un paysage), plate XVI from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8437,"Landscape with Two Figures (Paysage avec deux personnages), plate XVII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8438,"Landscape with Figure and Animal (Paysage avec personnage et animal), plate XVIII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8439,"Pastoral Site (Site champêtre), plate XIX from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8440,"Dancer (Danseuse), plate II from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8441,"Pastoral Landscape with Two Figures (Paysage champêtre avec deux personnages), plate XX from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8442,"Three Figures (Trois personnages), plate XXI from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8443,"Landscape with Two Figures (Paysage avec deux personnages), plate XXII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8444,"Landscape with Two Figures (Paysage avec deux personnages), plate XXIII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8445,"Figure Sticking Its Tongue Out (Tireur de langue), plate XXIV from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8446,Woodblock from Vignettes Lorgnettes,Jean Dubuffet,(French),1965,1960,France
8447,"Figure with Hat (Front View) (Personnage au chapeau [de face]), plate III from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8448,"Head of a Man (Profile) (Tête d'homme [de profil]), plate IV from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8449,"Flower Sniffer (Humeur de fleur), plate V from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8450,"Figure and Trees (Personnage et arbres), plate VI from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8451,"Three Figures (Trois personnages), plate VII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8452,"Crouching Figure (Personnage accroupi), plate VIII from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8453,"Head with Bowler Hat (Tête au chapeau melon), plate IX from Vignettes Lorgnettes",Jean Dubuffet,(French),1965,1960,France
8454,PORTRAIT OF F. FLEURET (frontispiece) from ÉLOGE DE RAOUL DUFY,Raoul Dufy,(French),1964,1960,France
8455,ÉLOGE DE RAOUL DUFY,Raoul Dufy,(French),1964,1960,France
8456,"HOMAGE TO CLAUDE LORRAIN (headpiece and pictorial initial I, folio 4) from ÉLOGE DE RAOUL DUFY",Raoul Dufy,(French),1964,1960,France
8457,"THE BATHER (plate, folio 7) from ÉLOGE DE RAOUL DUFY",Raoul Dufy,(French),1964,1960,France
8458,"MOZART (plate, folio 11) from ÉLOGE DE RAOUL DUFY",Raoul Dufy,(French),1964,1960,France
8459,"THE SEA (tailpiece, folio 15) from ÉLOGE DE RAOUL DUFY",Raoul Dufy,(French),1964,1960,France
8460,Slipcase front from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8461,Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8462,Plate (folio 12) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8463,Plate (folio 13 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8464,Plate (folio 15) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8465,Plate (folio 17 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8466,Plate (folio 19 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8467,Plate (folio 21) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8468,Plate (folio 22 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8469,Wrapper front from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8470,Frontispiece from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8471,Plate (folio 3 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8472,Plate (folio 5) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8473,Plate (folio 6 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8474,Plate (folio 8) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8475,Plate (folio 9) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8476,Plate (folio 10 verso) from Le Mirivis des Naturgies,Jean Dubuffet,(French),1965,1960,France
8477,POUR UN HERBIER,Raoul Dufy,(French),1964,1960,France
8478,Wrapper from La Lunette Farcie,Jean Dubuffet,(French),1965,1960,France
8479,La Lunette farcie,Jean Dubuffet,(French),1965,1960,France
8480,In-text plate (folio 6 verso) from LA LUNETTE FARCIE,Jean Dubuffet,(French),1965,1960,France
8481,In-text plate (folio 7) from LA LUNETTE FARCIE,Jean Dubuffet,(French),1965,1960,France
8482,In-text plate (folio 2) from LA LUNETTE FARCIE,Jean Dubuffet,(French),1965,1960,France
8483,In-text plate (folio 2 verso) from LA LUNETTE FARCIE,Jean Dubuffet,(French),1965,1960,France
